id,installation_id,visit_class_id,time,range,visit_count,average_length,visit_diff,length_diff
1780954,294,922,2022-02-28 04:00:00+00:00,hour,5,0 days 00:00:30,0,0 days 00:00:00
1828100,294,922,2022-03-03 02:00:00+00:00,hour,5,0 days 00:14:18.333333,0,0 days 00:00:00
1818258,294,922,2022-03-02 02:00:00+00:00,hour,5,0 days 00:04:21.250000,0,0 days 00:00:00
1900888,294,922,2022-03-06 03:00:00+00:00,hour,6,0 days 00:05:18.750000,0,0 days 00:00:00
1900889,294,922,2022-03-06 04:00:00+00:00,hour,10,0 days 00:06:22.500000,0,0 days 00:00:00
