id,installation_id,visit_class_id,time,range,visit_count,average_length,visit_diff,length_diff
1457069,294,1459,2021-12-11 00:00:00+01:00,day,1535,,0,0 days
1326935,294,1459,2021-11-07 00:00:00+01:00,day,30,,0,0 days
1445861,294,1459,2021-12-08 00:00:00+01:00,day,10,,0,0 days
1258926,294,1459,2021-10-21 00:00:00+02:00,day,55,,0,0 days
1270693,294,1459,2021-10-24 00:00:00+02:00,day,340,,0,0 days
1671263,294,1459,2022-02-04 00:00:00+01:00,day,2146,,0,0 days
1484783,294,1459,2021-12-18 00:00:00+01:00,day,1585,,0,0 days
1461119,294,1459,2021-12-12 00:00:00+01:00,day,1125,,0,0 days
1465263,294,1459,2021-12-13 00:00:00+01:00,day,1635,,0,0 days
1472937,294,1459,2021-12-15 00:00:00+01:00,day,1895,,0,0 days
1476818,294,1459,2021-12-16 00:00:00+01:00,day,1780,,0,0 days
1468808,294,1459,2021-12-14 00:00:00+01:00,day,1625,,0,0 days
1480314,294,1459,2021-12-17 00:00:00+01:00,day,2250,,0,0 days
1489428,294,1459,2021-12-19 00:00:00+01:00,day,1180,,0,0 days
1511455,294,1459,2021-12-24 00:00:00+01:00,day,2250,,0,0 days
1493449,294,1459,2021-12-20 00:00:00+01:00,day,1635,,0,0 days
1501054,294,1459,2021-12-22 00:00:00+01:00,day,1895,,0,0 days
1505686,294,1459,2021-12-23 00:00:00+01:00,day,1765,,0,0 days
1497111,294,1459,2021-12-21 00:00:00+01:00,day,1625,,0,0 days
1526778,294,1459,2021-12-27 00:00:00+01:00,day,1655,,0,0 days
1522109,294,1459,2021-12-26 00:00:00+01:00,day,1202,,0,0 days
1517764,294,1459,2021-12-25 00:00:00+01:00,day,1585,,0,0 days
1599369,294,1459,2022-01-12 00:00:00+01:00,day,1895,,0,0 days
1540736,294,1459,2021-12-30 00:00:00+01:00,day,1765,,0,0 days
1564848,294,1459,2022-01-04 00:00:00+01:00,day,1625,,0,0 days
1574482,294,1459,2022-01-06 00:00:00+01:00,day,1765,,0,0 days
1579063,294,1459,2022-01-07 00:00:00+01:00,day,2250,,0,0 days
1583279,294,1459,2022-01-08 00:00:00+01:00,day,1710,,0,0 days
1535949,294,1459,2021-12-29 00:00:00+01:00,day,1895,,0,0 days
1551301,294,1459,2022-01-01 00:00:00+01:00,day,1585,,0,0 days
1556473,294,1459,2022-01-02 00:00:00+01:00,day,1178,,0,0 days
1561208,294,1459,2022-01-03 00:00:00+01:00,day,1655,,0,0 days
1587553,294,1459,2022-01-09 00:00:00+01:00,day,1177,,0,0 days
1591173,294,1459,2022-01-10 00:00:00+01:00,day,1665,,0,0 days
1595233,294,1459,2022-01-11 00:00:00+01:00,day,1640,,0,0 days
1531261,294,1459,2021-12-28 00:00:00+01:00,day,1625,,0,0 days
1546136,294,1459,2021-12-31 00:00:00+01:00,day,2250,,0,0 days
1568844,294,1459,2022-01-05 00:00:00+01:00,day,1895,,0,0 days
1610813,294,1459,2022-01-15 00:00:00+01:00,day,1610,,0,0 days
1606319,294,1459,2022-01-14 00:00:00+01:00,day,2250,,0,0 days
1602975,294,1459,2022-01-13 00:00:00+01:00,day,1765,,0,0 days
1619082,294,1459,2022-01-17 00:00:00+01:00,day,1667,,0,0 days
1622669,294,1459,2022-01-18 00:00:00+01:00,day,1739,,0,0 days
1626272,294,1459,2022-01-19 00:00:00+01:00,day,1920,,0,0 days
1629679,294,1459,2022-01-20 00:00:00+01:00,day,1800,,0,0 days
1647996,294,1459,2022-01-27 00:00:00+01:00,day,1520,,0,0 days
1636737,294,1459,2022-01-22 00:00:00+01:00,day,1857,,0,0 days
1640831,294,1459,2022-01-23 00:00:00+01:00,day,1518,,0,0 days
1632945,294,1459,2022-01-21 00:00:00+01:00,day,2280,,0,0 days
1686442,294,1459,2022-02-08 00:00:00+01:00,day,1554,,0,0 days
1675678,294,1459,2022-02-05 00:00:00+01:00,day,1350,,0,0 days
1651727,294,1459,2022-01-28 00:00:00+01:00,day,1297,,0,0 days
1698109,294,1459,2022-02-09 00:00:00+01:00,day,1897,,0,0 days
1736781,294,1459,2022-01-25 00:00:00+01:00,day,1892,,0,0 days
1731234,294,1459,2022-01-24 00:00:00+01:00,day,1868,,0,0 days
1724825,294,1459,2022-02-19 00:00:00+01:00,day,1585,,0,0 days
1755868,294,1459,2022-02-24 00:00:00+01:00,day,1630,,0,0 days
1741240,294,1459,2022-01-26 00:00:00+01:00,day,1984,,0,0 days
1752047,294,1459,2022-02-23 00:00:00+01:00,day,1965,,0,0 days
