id,installation_id,visit_class_id,time,range,visit_count,average_length,visit_diff,length_diff
1011179,294,1461,2021-08-11 09:00:00+02:00,hour,35,0 days 00:03:54.086093,0,0 days 00:00:00
988222,294,1461,2021-08-04 21:00:00+02:00,hour,20,0 days 00:03:01.618816,0,0 days 00:00:00
1011180,294,1461,2021-08-11 15:00:00+02:00,hour,37,0 days 00:03:03.518676,0,0 days 00:00:00
1173480,294,1461,2021-09-26 02:00:00+02:00,hour,25,0 days 00:05:27.755952,0,0 days 00:00:00
1527711,294,1461,2021-12-28 18:00:00+01:00,hour,85,0 days 00:03:41.454542,0,0 days 00:00:00
1314751,294,1461,2021-11-05 12:00:00+01:00,hour,10,0 days 00:01:05.677731,0,0 days 00:00:00
