id,installation_id,visit_class_id,time,range,visit_count,average_length,visit_diff,length_diff
1052864,294,928,2021-08-21 00:00:00+02:00,day,23,,0,0 days
1318206,294,928,2021-11-05 00:00:00+01:00,day,40,,0,0 days
1056218,294,928,2021-08-22 00:00:00+02:00,day,15,,0,0 days
1067638,294,928,2021-08-25 00:00:00+02:00,day,85,,0,0 days
1281297,294,928,2021-10-27 00:00:00+02:00,day,150,,0,0 days
1003439,294,928,2021-08-08 00:00:00+02:00,day,55,,0,0 days
1143932,294,928,2021-09-17 00:00:00+02:00,day,220,,0,0 days
1212563,294,928,2021-10-05 00:00:00+02:00,day,165,,0,0 days
1310536,294,928,2021-11-03 00:00:00+01:00,day,45,,0,0 days
