id,installation_id,visit_class_id,time,range,visit_count,average_length,visit_diff,length_diff
1134891,294,1296,2021-09-15 03:00:00+02:00,hour,15,0 days 00:00:58.333333,0,0 days 00:00:00
1011201,294,1296,2021-08-11 15:00:00+02:00,hour,115,0 days 00:03:28.909834,0,0 days 00:00:00
1118301,294,1296,2021-09-10 02:00:00+02:00,hour,5,0 days 00:00:53.333333,0,0 days 00:00:00
1118302,294,1296,2021-09-10 03:00:00+02:00,hour,2,0 days 00:00:40,0,0 days 00:00:00
1045724,294,1296,2021-08-20 13:00:00+02:00,hour,95,0 days 00:05:41.257824,0,0 days 00:00:00
1161555,294,1296,2021-09-23 03:00:00+02:00,hour,5,0 days 00:00:30,0,0 days 00:00:00
1244062,294,1296,2021-10-18 03:00:00+02:00,hour,5,0 days 00:00:30,0,0 days 00:00:00
1204369,294,1296,2021-10-04 09:00:00+02:00,hour,95,0 days 00:07:01.591474,0,0 days 00:00:00
1240322,294,1296,2021-10-17 07:00:00+02:00,hour,5,0 days 01:41:28.750000,0,0 days 00:00:00
1240323,294,1296,2021-10-17 09:00:00+02:00,hour,20,0 days 00:01:40.976190,0,0 days 00:00:00
1240324,294,1296,2021-10-17 16:00:00+02:00,hour,90,0 days 00:04:04.501701,0,0 days 00:00:00
1240325,294,1296,2021-10-17 17:00:00+02:00,hour,85,0 days 00:03:26.662150,0,0 days 00:00:00
1240326,294,1296,2021-10-17 18:00:00+02:00,hour,70,0 days 00:03:47.878110,0,0 days 00:00:00
1240327,294,1296,2021-10-17 19:00:00+02:00,hour,5,0 days 00:05:09.862777,0,0 days 00:00:00
1240328,294,1296,2021-10-17 21:00:00+02:00,hour,25,0 days 00:03:44.166667,0,0 days 00:00:00
1244063,294,1296,2021-10-18 04:00:00+02:00,hour,5,0 days 00:05:08.333333,0,0 days 00:00:00
1244064,294,1296,2021-10-18 05:00:00+02:00,hour,5,0 days 00:01:40,0,0 days 00:00:00
1244065,294,1296,2021-10-18 06:00:00+02:00,hour,15,0 days 00:05:23.194444,0,0 days 00:00:00
1244066,294,1296,2021-10-18 07:00:00+02:00,hour,40,0 days 00:06:39.650052,0,0 days 00:00:00
1244067,294,1296,2021-10-18 09:00:00+02:00,hour,95,0 days 00:08:28.632178,0,0 days 00:00:00
1244068,294,1296,2021-10-18 10:00:00+02:00,hour,140,0 days 00:07:22.693727,0,0 days 00:00:00
1244069,294,1296,2021-10-18 11:00:00+02:00,hour,170,0 days 00:06:59.081235,0,0 days 00:00:00
1244070,294,1296,2021-10-18 12:00:00+02:00,hour,182,0 days 00:07:07.270610,0,0 days 00:00:00
1244071,294,1296,2021-10-18 16:00:00+02:00,hour,5,0 days 00:05:31.161160,0,0 days 00:00:00
1244072,294,1296,2021-10-18 18:00:00+02:00,hour,85,0 days 00:07:09.538255,0,0 days 00:00:00
1244073,294,1296,2021-10-18 20:00:00+02:00,hour,50,0 days 00:25:17.805195,0,0 days 00:00:00
1271068,294,1296,2021-10-25 00:00:00+02:00,hour,15,0 days 00:03:00,0,0 days 00:00:00
1366800,294,1296,2021-11-17 16:00:00+01:00,hour,165,0 days 00:03:47.988391,0,0 days 00:00:00
1442705,294,1296,2021-12-08 19:00:00+01:00,hour,10,0 days 00:04:38.316215,0,0 days 00:00:00
1247947,294,1296,2021-10-19 01:00:00+02:00,hour,10,0 days 00:00:30,0,0 days 00:00:00
1247948,294,1296,2021-10-19 04:00:00+02:00,hour,7,0 days 00:00:30,0,0 days 00:00:00
1247949,294,1296,2021-10-19 05:00:00+02:00,hour,7,0 days 00:00:30,0,0 days 00:00:00
1247950,294,1296,2021-10-19 07:00:00+02:00,hour,85,0 days 00:04:07.613764,0,0 days 00:00:00
1247951,294,1296,2021-10-19 08:00:00+02:00,hour,85,0 days 00:04:08.071220,0,0 days 00:00:00
1267065,294,1296,2021-10-24 07:00:00+02:00,hour,5,0 days 02:06:43.437500,0,0 days 00:00:00
1267066,294,1296,2021-10-24 09:00:00+02:00,hour,20,0 days 00:01:46.353741,0,0 days 00:00:00
1267067,294,1296,2021-10-24 16:00:00+02:00,hour,90,0 days 00:04:23.988338,0,0 days 00:00:00
1267068,294,1296,2021-10-24 17:00:00+02:00,hour,85,0 days 00:03:44.714726,0,0 days 00:00:00
1267069,294,1296,2021-10-24 18:00:00+02:00,hour,70,0 days 00:04:16.098793,0,0 days 00:00:00
1267070,294,1296,2021-10-24 19:00:00+02:00,hour,55,0 days 00:06:14.414602,0,0 days 00:00:00
1267071,294,1296,2021-10-24 21:00:00+02:00,hour,22,0 days 00:02:52.500000,0,0 days 00:00:00
