id,installation_id,visit_class_id,time,range,visit_count,average_length,visit_diff,length_diff
994936,294,922,2021-08-06 02:00:00+02:00,hour,2,0 days 00:45:55,0,0 days 00:00:00
1366801,294,922,2021-11-17 03:00:00+01:00,hour,5,0 days 00:00:30,0,0 days 00:00:00
1111741,294,922,2021-09-08 06:00:00+02:00,hour,2,0 days 00:00:30,0,0 days 00:00:00
1111742,294,922,2021-09-08 07:00:00+02:00,hour,2,0 days 00:00:30,0,0 days 00:00:00
1111743,294,922,2021-09-08 12:00:00+02:00,hour,22,0 days 00:08:53.021762,0,0 days 00:00:00
1151334,294,922,2021-09-20 01:00:00+02:00,hour,10,0 days 00:00:30,0,0 days 00:00:00
1209354,294,922,2021-10-05 01:00:00+02:00,hour,5,0 days 00:00:30,0,0 days 00:00:00
1209355,294,922,2021-10-05 02:00:00+02:00,hour,5,0 days 00:00:30,0,0 days 00:00:00
1209356,294,922,2021-10-05 03:00:00+02:00,hour,5,0 days 00:00:30,0,0 days 00:00:00
1271071,294,922,2021-10-25 01:00:00+02:00,hour,10,0 days 00:00:30,0,0 days 00:00:00
1271072,294,922,2021-10-25 04:00:00+02:00,hour,10,0 days 00:05:32.500000,0,0 days 00:00:00
1271073,294,922,2021-10-25 05:00:00+02:00,hour,5,0 days 00:00:30,0,0 days 00:00:00
1271074,294,922,2021-10-25 06:00:00+02:00,hour,5,0 days 00:00:30,0,0 days 00:00:00
1271075,294,922,2021-10-25 09:00:00+02:00,hour,15,0 days 00:01:00,0,0 days 00:00:00
1271076,294,922,2021-10-25 20:00:00+02:00,hour,20,0 days 00:03:46.958333,0,0 days 00:00:00
1271077,294,922,2021-10-25 23:00:00+02:00,hour,5,0 days 00:17:02.500000,0,0 days 00:00:00
1322841,294,922,2021-11-07 07:00:00+01:00,hour,5,0 days 00:24:02.500000,0,0 days 00:00:00
1007476,294,922,2021-08-10 01:00:00+02:00,hour,2,0 days 00:00:30,0,0 days 00:00:00
1140827,294,922,2021-09-17 03:00:00+02:00,hour,5,0 days 00:42:47.500000,0,0 days 00:00:00
1173479,294,922,2021-09-26 05:00:00+02:00,hour,5,0 days 00:00:30,0,0 days 00:00:00
1235222,294,922,2021-10-15 01:00:00+02:00,hour,5,0 days 01:40:20,0,0 days 00:00:00
1274508,294,922,2021-10-26 00:00:00+02:00,hour,5,0 days 00:00:30,0,0 days 00:00:00
1274509,294,922,2021-10-26 01:00:00+02:00,hour,5,0 days 00:00:30,0,0 days 00:00:00
1274510,294,922,2021-10-26 02:00:00+02:00,hour,5,0 days 00:00:30,0,0 days 00:00:00
1274511,294,922,2021-10-26 04:00:00+02:00,hour,10,0 days 00:07:55,0,0 days 00:00:00
1274512,294,922,2021-10-26 07:00:00+02:00,hour,5,0 days 00:00:30,0,0 days 00:00:00
1274513,294,922,2021-10-26 08:00:00+02:00,hour,7,0 days 00:01:47.500000,0,0 days 00:00:00
1274514,294,922,2021-10-26 10:00:00+02:00,hour,10,0 days 00:08:22.261905,0,0 days 00:00:00
1274515,294,922,2021-10-26 11:00:00+02:00,hour,20,0 days 00:05:33.535714,0,0 days 00:00:00
1274516,294,922,2021-10-26 16:00:00+02:00,hour,35,0 days 00:04:34.540816,0,0 days 00:00:00
1274517,294,922,2021-10-26 17:00:00+02:00,hour,35,0 days 00:06:56.245748,0,0 days 00:00:00
1277831,294,922,2021-10-27 04:00:00+02:00,hour,5,0 days 00:00:30,0,0 days 00:00:00
1277832,294,922,2021-10-27 05:00:00+02:00,hour,5,0 days 00:00:30,0,0 days 00:00:00
1277833,294,922,2021-10-27 06:00:00+02:00,hour,10,0 days 00:00:30,0,0 days 00:00:00
1311050,294,922,2021-11-04 01:00:00+01:00,hour,10,0 days 00:00:30,0,0 days 00:00:00
1078189,294,922,2021-08-29 03:00:00+02:00,hour,5,0 days 00:04:20.833333,0,0 days 00:00:00
1078190,294,922,2021-08-29 06:00:00+02:00,hour,5,0 days 00:07:59.166667,0,0 days 00:00:00
1078191,294,922,2021-08-29 07:00:00+02:00,hour,2,0 days 00:17:02.500000,0,0 days 00:00:00
1078192,294,922,2021-08-29 10:00:00+02:00,hour,7,0 days 00:10:43.750000,0,0 days 00:00:00
1078193,294,922,2021-08-29 11:00:00+02:00,hour,15,0 days 00:08:11.422619,0,0 days 00:00:00
1078194,294,922,2021-08-29 12:00:00+02:00,hour,22,0 days 00:01:31.910431,0,0 days 00:00:00
1118303,294,922,2021-09-10 02:00:00+02:00,hour,2,0 days 00:45:55,0,0 days 00:00:00
1118304,294,922,2021-09-10 03:00:00+02:00,hour,5,0 days 00:42:47.500000,0,0 days 00:00:00
