id,installation_id,visit_class_id,time,range,visit_count,average_length,visit_diff,length_diff
1104327,294,925,2021-09-05 00:00:00+02:00,day,15,,0,0 days
1007091,294,925,2021-08-09 00:00:00+02:00,day,8,,0,0 days
1262392,294,925,2021-10-22 00:00:00+02:00,day,170,,0,0 days
1140415,294,925,2021-09-16 00:00:00+02:00,day,600,,0,0 days
1161150,294,925,2021-09-22 00:00:00+02:00,day,495,,0,0 days
1131505,294,925,2021-09-13 00:00:00+02:00,day,10,,0,0 days
1143936,294,925,2021-09-17 00:00:00+02:00,day,20,,0,0 days
1181395,294,925,2021-09-27 00:00:00+02:00,day,165,,0,0 days
1251085,294,925,2021-10-19 00:00:00+02:00,day,75,,0,0 days
1413039,294,925,2021-11-29 00:00:00+01:00,day,5,,0,0 days
1270701,294,925,2021-10-24 00:00:00+02:00,day,315,,0,0 days
1445869,294,925,2021-12-08 00:00:00+01:00,day,70,,0,0 days
1632946,294,925,2022-01-21 00:00:00+01:00,day,460,,0,0 days
