id,installation_id,visit_class_id,time,range,visit_count,average_length,visit_diff,length_diff
1161149,294,1282,2021-09-22 00:00:00+02:00,day,25,,0,0 days
1154105,294,1282,2021-09-20 00:00:00+02:00,day,10,,0,0 days
1091456,294,1282,2021-09-01 00:00:00+02:00,day,17,,0,0 days
1045316,294,1282,2021-08-19 00:00:00+02:00,day,35,,0,0 days
1157536,294,1282,2021-09-21 00:00:00+02:00,day,20,,0,0 days
1189427,294,1282,2021-09-29 00:00:00+02:00,day,5,,0,0 days
1201293,294,1282,2021-10-02 00:00:00+02:00,day,10,,0,0 days
1197131,294,1282,2021-10-01 00:00:00+02:00,day,5,,0,0 days
1229498,294,1282,2021-10-10 00:00:00+02:00,day,15,,0,0 days
1208728,294,1282,2021-10-04 00:00:00+02:00,day,5,,0,0 days
1377118,294,1282,2021-11-19 00:00:00+01:00,day,5,,0,0 days
1314350,294,1282,2021-11-04 00:00:00+01:00,day,15,,0,0 days
1232629,294,1282,2021-10-11 00:00:00+02:00,day,10,,0,0 days
1247598,294,1282,2021-10-18 00:00:00+02:00,day,15,,0,0 days
1318209,294,1282,2021-11-05 00:00:00+01:00,day,15,,0,0 days
1501055,294,1282,2021-12-22 00:00:00+01:00,day,5,,0,0 days
1445862,294,1282,2021-12-08 00:00:00+01:00,day,15,,0,0 days
1522110,294,1282,2021-12-26 00:00:00+01:00,day,5,,0,0 days
