visit_class_id,time,range,visit_count,visit_starts,visit_ends,total_presence_dwell,total_bucket_dwell,presence_dwell_starts,presence_dwell_ends,bucket_dwell_starts,bucket_dwell_ends,avg_dwell
922,2021-08-01 00:00:00+02:00,day,142,140,142,0 days 14:56:10,0 days 12:31:30,0 days 11:39:55,0 days 14:56:10,0 days 11:39:55,0 days 12:31:30,0 days 00:06:18.661972
922,2021-08-02 00:00:00+02:00,day,196,196,196,0 days 11:53:40,0 days 11:53:40,0 days 11:53:40,0 days 11:53:40,0 days 11:53:40,0 days 11:53:40,0 days 00:03:38.469388
922,2021-08-03 00:00:00+02:00,day,194,194,192,0 days 19:01:30,0 days 18:35:35,0 days 19:01:30,0 days 13:29:45,0 days 18:35:35,0 days 13:29:45,0 days 00:05:53.041237
922,2021-08-04 00:00:00+02:00,day,213,211,213,0 days 19:26:10,0 days 14:20:20,0 days 13:54:25,0 days 19:26:10,0 days 13:54:25,0 days 14:20:20,0 days 00:05:28.497653
922,2021-08-05 00:00:00+02:00,day,367,367,367,1 days 02:11:50,1 days 02:11:50,1 days 02:11:50,1 days 02:11:50,1 days 02:11:50,1 days 02:11:50,0 days 00:04:16.975477
922,2021-08-06 00:00:00+02:00,day,266,266,265,0 days 20:38:20,0 days 20:14:45,0 days 20:38:20,0 days 18:47:20,0 days 20:14:45,0 days 18:47:20,0 days 00:04:39.323308
922,2021-08-07 00:00:00+02:00,day,290,289,288,1 days 01:35:25,0 days 23:47:15,0 days 23:44:25,1 days 01:07:55,0 days 23:23:40,0 days 23:40:30,0 days 00:05:17.672414
922,2021-08-08 00:00:00+02:00,day,223,221,223,0 days 20:06:35,0 days 19:59:50,0 days 19:39:05,0 days 20:06:35,0 days 19:39:05,0 days 19:59:50,0 days 00:05:24.641256
922,2021-08-09 00:00:00+02:00,day,133,133,133,1 days 13:26:15,1 days 13:26:15,1 days 13:26:15,1 days 13:26:15,1 days 13:26:15,1 days 13:26:15,0 days 00:16:53.345865
922,2021-08-10 00:00:00+02:00,day,187,187,187,1 days 06:53:55,1 days 06:53:55,1 days 06:53:55,1 days 06:53:55,1 days 06:53:55,1 days 06:53:55,0 days 00:09:54.839572
922,2021-08-11 00:00:00+02:00,day,179,179,179,0 days 22:30:30,0 days 22:30:30,0 days 22:30:30,0 days 22:30:30,0 days 22:30:30,0 days 22:30:30,0 days 00:07:32.681564
922,2021-08-12 00:00:00+02:00,day,114,114,114,0 days 21:22:50,0 days 21:22:50,0 days 21:22:50,0 days 21:22:50,0 days 21:22:50,0 days 21:22:50,0 days 00:11:15.175439
922,2021-08-13 00:00:00+02:00,day,143,143,142,0 days 20:09:30,0 days 19:05:00,0 days 20:09:30,0 days 16:23:15,0 days 19:05:00,0 days 16:23:15,0 days 00:08:27.482517
922,2021-08-14 00:00:00+02:00,day,310,309,309,0 days 23:47:50,0 days 21:03:10,0 days 20:01:35,0 days 22:47:55,0 days 19:58:40,0 days 20:06:10,0 days 00:04:36.354839
922,2021-08-15 00:00:00+02:00,day,168,167,168,0 days 16:08:00,0 days 15:11:00,0 days 15:08:05,0 days 16:08:00,0 days 15:08:05,0 days 15:11:00,0 days 00:05:45.714286
922,2021-08-16 00:00:00+02:00,day,72,72,72,0 days 05:16:00,0 days 05:16:00,0 days 05:16:00,0 days 05:16:00,0 days 05:16:00,0 days 05:16:00,0 days 00:04:23.333333
922,2021-08-17 00:00:00+02:00,day,78,78,78,0 days 14:33:40,0 days 14:33:40,0 days 14:33:40,0 days 14:33:40,0 days 14:33:40,0 days 14:33:40,0 days 00:11:12.051282
922,2021-08-18 00:00:00+02:00,day,119,119,119,0 days 10:19:55,0 days 10:19:55,0 days 10:19:55,0 days 10:19:55,0 days 10:19:55,0 days 10:19:55,0 days 00:05:12.563025
922,2021-08-19 00:00:00+02:00,day,150,150,150,0 days 21:52:10,0 days 21:52:10,0 days 21:52:10,0 days 21:52:10,0 days 21:52:10,0 days 21:52:10,0 days 00:08:44.866667
922,2021-08-20 00:00:00+02:00,day,187,187,187,0 days 10:58:15,0 days 10:58:15,0 days 10:58:15,0 days 10:58:15,0 days 10:58:15,0 days 10:58:15,0 days 00:03:31.203209
922,2021-08-21 00:00:00+02:00,day,279,279,278,1 days 02:25:35,1 days 02:09:10,1 days 02:25:35,1 days 00:12:40,1 days 02:09:10,1 days 00:12:40,0 days 00:05:40.985663
922,2021-08-22 00:00:00+02:00,day,176,175,176,0 days 17:14:10,0 days 15:17:40,0 days 15:01:15,0 days 17:14:10,0 days 15:01:15,0 days 15:17:40,0 days 00:05:52.556818
922,2021-08-23 00:00:00+02:00,day,96,96,96,0 days 07:51:15,0 days 07:51:15,0 days 07:51:15,0 days 07:51:15,0 days 07:51:15,0 days 07:51:15,0 days 00:04:54.531250
922,2021-08-24 00:00:00+02:00,day,122,122,122,0 days 10:16:55,0 days 10:16:55,0 days 10:16:55,0 days 10:16:55,0 days 10:16:55,0 days 10:16:55,0 days 00:05:03.401639
922,2021-08-25 00:00:00+02:00,day,110,110,110,0 days 06:12:05,0 days 06:12:05,0 days 06:12:05,0 days 06:12:05,0 days 06:12:05,0 days 06:12:05,0 days 00:03:22.954545
922,2021-08-26 00:00:00+02:00,day,80,80,80,0 days 11:54:45,0 days 11:54:45,0 days 11:54:45,0 days 11:54:45,0 days 11:54:45,0 days 11:54:45,0 days 00:08:56.062500
922,2021-08-27 00:00:00+02:00,day,148,148,148,0 days 19:51:40,0 days 19:51:40,0 days 19:51:40,0 days 19:51:40,0 days 19:51:40,0 days 19:51:40,0 days 00:08:03.108108
922,2021-08-28 00:00:00+02:00,day,248,248,246,0 days 18:02:10,0 days 17:27:30,0 days 18:02:10,0 days 16:23:25,0 days 17:27:30,0 days 16:23:25,0 days 00:04:21.814516
922,2021-08-29 00:00:00+02:00,day,123,121,123,0 days 10:29:20,0 days 09:25:15,0 days 08:50:35,0 days 10:29:20,0 days 08:50:35,0 days 09:25:15,0 days 00:05:06.991870
922,2021-08-30 00:00:00+02:00,day,115,115,115,0 days 08:36:25,0 days 08:36:25,0 days 08:36:25,0 days 08:36:25,0 days 08:36:25,0 days 08:36:25,0 days 00:04:29.434783
922,2021-08-31 00:00:00+02:00,day,110,110,110,0 days 09:46:45,0 days 09:46:45,0 days 09:46:45,0 days 09:46:45,0 days 09:46:45,0 days 09:46:45,0 days 00:05:20.045455
922,2021-09-01 00:00:00+02:00,day,338,338,338,0 days 14:00:00,0 days 14:00:00,0 days 14:00:00,0 days 14:00:00,0 days 14:00:00,0 days 14:00:00,0 days 00:02:29.112426
922,2021-09-02 00:00:00+02:00,day,127,127,127,0 days 12:00:05,0 days 12:00:05,0 days 12:00:05,0 days 12:00:05,0 days 12:00:05,0 days 12:00:05,0 days 00:05:40.196850
922,2021-09-03 00:00:00+02:00,day,161,161,161,0 days 21:39:15,0 days 21:39:15,0 days 21:39:15,0 days 21:39:15,0 days 21:39:15,0 days 21:39:15,0 days 00:08:04.192547
922,2021-09-04 00:00:00+02:00,day,181,181,180,0 days 21:16:50,0 days 21:05:20,0 days 21:16:50,0 days 21:04:40,0 days 21:05:20,0 days 21:04:40,0 days 00:07:03.259669
922,2021-09-05 00:00:00+02:00,day,102,101,102,0 days 07:15:45,0 days 07:15:05,0 days 07:03:35,0 days 07:15:45,0 days 07:03:35,0 days 07:15:05,0 days 00:04:16.323529
922,2021-09-06 00:00:00+02:00,day,16,16,16,0 days 01:29:30,0 days 01:29:30,0 days 01:29:30,0 days 01:29:30,0 days 01:29:30,0 days 01:29:30,0 days 00:05:35.625000
922,2021-09-07 00:00:00+02:00,day,70,70,67,1 days 03:41:25,0 days 18:56:10,1 days 03:41:25,0 days 05:37:10,0 days 18:56:10,0 days 05:37:10,0 days 00:23:44.071429
922,2021-09-08 00:00:00+02:00,day,86,83,86,1 days 05:03:10,0 days 15:44:10,0 days 06:58:55,1 days 05:03:10,0 days 06:58:55,0 days 15:44:10,0 days 00:20:16.162791
922,2021-09-09 00:00:00+02:00,day,132,132,132,1 days 10:22:55,1 days 10:22:55,1 days 10:22:55,1 days 10:22:55,1 days 10:22:55,1 days 10:22:55,0 days 00:15:37.689394
922,2021-09-10 00:00:00+02:00,day,190,190,190,0 days 14:13:15,0 days 14:13:15,0 days 14:13:15,0 days 14:13:15,0 days 14:13:15,0 days 14:13:15,0 days 00:04:29.447368
922,2021-09-11 00:00:00+02:00,day,129,129,129,0 days 10:40:40,0 days 10:40:40,0 days 10:40:40,0 days 10:40:40,0 days 10:40:40,0 days 10:40:40,0 days 00:04:57.984496
922,2021-09-12 00:00:00+02:00,day,65,65,65,0 days 06:18:25,0 days 06:18:25,0 days 06:18:25,0 days 06:18:25,0 days 06:18:25,0 days 06:18:25,0 days 00:05:49.307692
922,2021-09-13 00:00:00+02:00,day,98,98,98,0 days 05:50:25,0 days 05:50:25,0 days 05:50:25,0 days 05:50:25,0 days 05:50:25,0 days 05:50:25,0 days 00:03:34.540816
922,2021-09-14 00:00:00+02:00,day,109,109,109,0 days 10:08:35,0 days 10:08:35,0 days 10:08:35,0 days 10:08:35,0 days 10:08:35,0 days 10:08:35,0 days 00:05:35
922,2021-09-15 00:00:00+02:00,day,90,90,90,0 days 08:20:35,0 days 08:20:35,0 days 08:20:35,0 days 08:20:35,0 days 08:20:35,0 days 08:20:35,0 days 00:05:33.722222
922,2021-09-16 00:00:00+02:00,day,56,56,56,0 days 01:24:55,0 days 01:24:55,0 days 01:24:55,0 days 01:24:55,0 days 01:24:55,0 days 01:24:55,0 days 00:01:30.982143
922,2021-09-17 00:00:00+02:00,day,87,87,86,0 days 06:34:00,0 days 06:31:50,0 days 06:34:00,0 days 06:23:40,0 days 06:31:50,0 days 06:23:40,0 days 00:04:31.724138
922,2021-09-18 00:00:00+02:00,day,190,189,189,0 days 06:33:40,0 days 05:36:55,0 days 06:23:20,0 days 05:29:50,0 days 05:34:45,0 days 05:21:40,0 days 00:02:04.315789
922,2021-09-19 00:00:00+02:00,day,78,77,78,0 days 04:16:50,0 days 04:01:35,0 days 03:13:00,0 days 04:16:50,0 days 03:13:00,0 days 04:01:35,0 days 00:03:17.564103
922,2021-09-20 00:00:00+02:00,day,48,48,48,0 days 01:07:45,0 days 01:07:45,0 days 01:07:45,0 days 01:07:45,0 days 01:07:45,0 days 01:07:45,0 days 00:01:24.687500
922,2021-09-21 00:00:00+02:00,day,56,56,56,0 days 07:38:15,0 days 07:38:15,0 days 07:38:15,0 days 07:38:15,0 days 07:38:15,0 days 07:38:15,0 days 00:08:10.982143
922,2021-09-22 00:00:00+02:00,day,71,71,71,0 days 04:57:30,0 days 04:57:30,0 days 04:57:30,0 days 04:57:30,0 days 04:57:30,0 days 04:57:30,0 days 00:04:11.408451
922,2021-09-23 00:00:00+02:00,day,66,66,66,0 days 03:43:20,0 days 03:43:20,0 days 03:43:20,0 days 03:43:20,0 days 03:43:20,0 days 03:43:20,0 days 00:03:23.030303
