visit_class_id,time,range,visit_count,visit_starts,visit_ends,total_presence_dwell,total_bucket_dwell,presence_dwell_starts,presence_dwell_ends,bucket_dwell_starts,bucket_dwell_ends,avg_dwell
921,2022-03-06 23:00:00+00:00,day,328,328,328,0 days 09:03:15,0 days 09:03:15,0 days 09:03:15,0 days 09:03:15,0 days 09:03:15,0 days 09:03:15,0 days 00:01:39.375000
921,2022-03-07 23:00:00+00:00,day,342,342,342,0 days 13:29:25,0 days 13:29:25,0 days 13:29:25,0 days 13:29:25,0 days 13:29:25,0 days 13:29:25,0 days 00:02:22.002924
921,2022-03-08 23:00:00+00:00,day,310,310,310,0 days 13:55:45,0 days 13:55:45,0 days 13:55:45,0 days 13:55:45,0 days 13:55:45,0 days 13:55:45,0 days 00:02:41.758065
921,2022-03-09 23:00:00+00:00,day,276,276,276,0 days 22:47:55,0 days 22:47:55,0 days 22:47:55,0 days 22:47:55,0 days 22:47:55,0 days 22:47:55,0 days 00:04:57.373188
921,2022-03-10 23:00:00+00:00,day,347,347,347,0 days 13:42:00,0 days 13:42:00,0 days 13:42:00,0 days 13:42:00,0 days 13:42:00,0 days 13:42:00,0 days 00:02:22.132565
921,2022-03-11 23:00:00+00:00,day,406,406,406,0 days 17:03:30,0 days 17:03:30,0 days 17:03:30,0 days 17:03:30,0 days 17:03:30,0 days 17:03:30,0 days 00:02:31.256158
921,2022-03-12 23:00:00+00:00,day,241,241,238,1 days 10:27:30,1 days 08:05:25,1 days 10:27:30,0 days 20:09:35,1 days 08:05:25,0 days 20:09:35,0 days 00:08:34.730290
