visit_class_id,time,range,visit_count,visit_starts,visit_ends,total_presence_dwell,total_bucket_dwell,presence_dwell_starts,presence_dwell_ends,bucket_dwell_starts,bucket_dwell_ends,avg_dwell
1461,2022-03-06 23:00:00+00:00,day,263,263,261,1 days 00:39:30,0 days 22:14:35,1 days 00:39:30,0 days 18:16:10,0 days 22:14:35,0 days 18:16:10,0 days 00:05:37.528517
1461,2022-03-07 23:00:00+00:00,day,290,288,289,2 days 06:26:05,1 days 17:36:50,2 days 00:02:45,1 days 19:33:20,1 days 15:11:55,1 days 15:34:55,0 days 00:11:15.741379
1461,2022-03-08 23:00:00+00:00,day,272,271,272,0 days 23:54:35,0 days 21:52:40,0 days 13:01:50,0 days 23:54:35,0 days 13:01:50,0 days 21:52:40,0 days 00:05:16.452206
1461,2022-03-09 23:00:00+00:00,day,314,314,314,1 days 07:00:15,1 days 07:00:15,1 days 07:00:15,1 days 07:00:15,1 days 07:00:15,1 days 07:00:15,0 days 00:05:55.461783
1461,2022-03-10 23:00:00+00:00,day,257,257,257,0 days 14:20:20,0 days 14:20:20,0 days 14:20:20,0 days 14:20:20,0 days 14:20:20,0 days 14:20:20,0 days 00:03:20.856031
1461,2022-03-11 23:00:00+00:00,day,240,240,240,0 days 12:10:45,0 days 12:10:45,0 days 12:10:45,0 days 12:10:45,0 days 12:10:45,0 days 12:10:45,0 days 00:03:02.687500
1461,2022-03-12 23:00:00+00:00,day,196,196,195,0 days 15:00:35,0 days 14:20:25,0 days 15:00:35,0 days 13:31:35,0 days 14:20:25,0 days 13:31:35,0 days 00:04:35.688776
