id,installation_id,visit_class_id,time,range,visit_count,average_length,visit_diff,length_diff
1979559,294,1459,2022-03-21 00:00:00+01:00,hour,45,0 days 00:04:38.333333,0,0 days 00:00:00
1979560,294,1459,2022-03-21 01:00:00+01:00,hour,25,0 days 00:07:02,0,0 days 00:00:00
1979561,294,1459,2022-03-21 02:00:00+01:00,hour,65,0 days 00:00:51.153846,0,0 days 00:00:00
1979562,294,1459,2022-03-21 05:00:00+01:00,hour,35,0 days 00:34:38.613956,0,0 days 00:00:00
1979563,294,1459,2022-03-21 06:00:00+01:00,hour,25,0 days 00:19:51.559249,0,0 days 00:00:00
1979564,294,1459,2022-03-21 07:00:00+01:00,hour,90,0 days 00:11:12.749681,0,0 days 00:00:00
1979565,294,1459,2022-03-21 08:00:00+01:00,hour,105,0 days 00:08:25.208182,0,0 days 00:00:00
1979566,294,1459,2022-03-21 09:00:00+01:00,hour,95,0 days 00:07:31.003596,0,0 days 00:00:00
1979567,294,1459,2022-03-21 10:00:00+01:00,hour,105,0 days 00:08:18.010278,0,0 days 00:00:00
1979568,294,1459,2022-03-21 11:00:00+01:00,hour,135,0 days 00:05:36.373474,0,0 days 00:00:00
1979569,294,1459,2022-03-21 12:00:00+01:00,hour,140,0 days 00:04:28.049737,0,0 days 00:00:00
1979570,294,1459,2022-03-21 13:00:00+01:00,hour,140,0 days 00:04:46.508190,0,0 days 00:00:00
1979571,294,1459,2022-03-21 14:00:00+01:00,hour,150,0 days 00:04:29.806524,0,0 days 00:00:00
1979572,294,1459,2022-03-21 15:00:00+01:00,hour,200,0 days 00:03:03.887269,0,0 days 00:00:00
1979573,294,1459,2022-03-21 16:00:00+01:00,hour,100,0 days 00:02:45.503528,0,0 days 00:00:00
1979574,294,1459,2022-03-21 17:00:00+01:00,hour,90,0 days 00:03:06.080843,0,0 days 00:00:00
1979575,294,1459,2022-03-21 18:00:00+01:00,hour,75,0 days 00:03:44.597288,0,0 days 00:00:00
1979576,294,1459,2022-03-21 19:00:00+01:00,hour,65,0 days 00:04:12.280315,0,0 days 00:00:00
1979577,294,1459,2022-03-21 20:00:00+01:00,hour,10,0 days 00:00:30,0,0 days 00:00:00
1979578,294,1459,2022-03-21 21:00:00+01:00,hour,40,0 days 00:12:36.296143,0,0 days 00:00:00
1979579,294,1459,2022-03-21 22:00:00+01:00,hour,45,0 days 00:15:09.776252,0,0 days 00:00:00
1979580,294,1459,2022-03-21 23:00:00+01:00,hour,70,0 days 00:01:30.357143,0,0 days 00:00:00
2003274,294,1459,2022-03-24 00:00:00+01:00,hour,10,0 days 00:01:57.500000,0,0 days 00:00:00
1988535,294,1459,2022-03-22 02:00:00+01:00,hour,25,0 days 00:39:57.987292,0,0 days 00:00:00
1988536,294,1459,2022-03-22 03:00:00+01:00,hour,5,0 days 00:04:00,0,0 days 00:00:00
1988537,294,1459,2022-03-22 04:00:00+01:00,hour,15,0 days 00:36:21.959877,0,0 days 00:00:00
1988538,294,1459,2022-03-22 05:00:00+01:00,hour,15,0 days 00:36:12.087205,0,0 days 00:00:00
1988539,294,1459,2022-03-22 06:00:00+01:00,hour,25,0 days 00:17:18.515484,0,0 days 00:00:00
1988540,294,1459,2022-03-22 07:00:00+01:00,hour,100,0 days 00:07:58.798745,0,0 days 00:00:00
1988541,294,1459,2022-03-22 08:00:00+01:00,hour,56,0 days 00:03:31.649832,0,0 days 00:00:00
