visit_class_id,time,range,visit_count,visit_starts,visit_ends,total_presence_dwell,total_bucket_dwell,presence_dwell_starts,presence_dwell_ends,bucket_dwell_starts,bucket_dwell_ends,avg_dwell
909,2022-03-20 23:00:00+00:00,day,145,145,145,0 days 10:03:50,0 days 10:03:50,0 days 10:03:50,0 days 10:03:50,0 days 10:03:50,0 days 10:03:50,0 days 00:04:09.862069
909,2022-03-21 23:00:00+00:00,day,154,154,154,0 days 03:23:10,0 days 03:23:10,0 days 03:23:10,0 days 03:23:10,0 days 03:23:10,0 days 03:23:10,0 days 00:01:19.155844
909,2022-03-22 23:00:00+00:00,day,129,129,129,0 days 02:11:45,0 days 02:11:45,0 days 02:11:45,0 days 02:11:45,0 days 02:11:45,0 days 02:11:45,0 days 00:01:01.279070
909,2022-03-23 23:00:00+00:00,day,162,162,162,0 days 02:26:50,0 days 02:26:50,0 days 02:26:50,0 days 02:26:50,0 days 02:26:50,0 days 02:26:50,0 days 00:00:54.382716
909,2022-03-24 23:00:00+00:00,day,165,165,165,0 days 06:11:05,0 days 06:11:05,0 days 06:11:05,0 days 06:11:05,0 days 06:11:05,0 days 06:11:05,0 days 00:02:14.939394
909,2022-03-25 23:00:00+00:00,day,79,79,79,0 days 04:45:50,0 days 04:45:50,0 days 04:45:50,0 days 04:45:50,0 days 04:45:50,0 days 04:45:50,0 days 00:03:37.088608
909,2022-03-26 23:00:00+00:00,day,49,49,49,0 days 02:05:45,0 days 02:05:45,0 days 02:05:45,0 days 02:05:45,0 days 02:05:45,0 days 02:05:45,0 days 00:02:33.979592
