visit_class_id,time,range,visit_count,visit_starts,visit_ends,total_presence_dwell,total_bucket_dwell,presence_dwell_starts,presence_dwell_ends,bucket_dwell_starts,bucket_dwell_ends,avg_dwell
1457,2022-03-20 23:00:00+00:00,day,381,381,379,3 days 13:17:10,3 days 09:26:05,3 days 13:17:10,3 days 04:06:30,3 days 09:26:05,3 days 04:06:30,0 days 00:13:25.853018
1457,2022-03-21 23:00:00+00:00,day,332,330,332,2 days 16:12:50,2 days 10:53:15,2 days 07:02:10,2 days 16:12:50,2 days 07:02:10,2 days 10:53:15,0 days 00:11:36.295181
1457,2022-03-22 23:00:00+00:00,day,366,366,365,3 days 07:29:20,3 days 07:24:30,3 days 07:29:20,3 days 07:01:30,3 days 07:24:30,3 days 07:01:30,0 days 00:13:01.857923
1457,2022-03-23 23:00:00+00:00,day,345,344,345,3 days 00:13:25,2 days 23:50:25,2 days 23:45:35,3 days 00:13:25,2 days 23:45:35,2 days 23:50:25,0 days 00:12:33.637681
1457,2022-03-24 23:00:00+00:00,day,321,321,321,1 days 05:17:20,1 days 05:17:20,1 days 05:17:20,1 days 05:17:20,1 days 05:17:20,1 days 05:17:20,0 days 00:05:28.473520
1457,2022-03-25 23:00:00+00:00,day,235,235,234,0 days 21:51:30,0 days 21:44:55,0 days 21:51:30,0 days 21:40:55,0 days 21:44:55,0 days 21:40:55,0 days 00:05:34.851064
1457,2022-03-26 23:00:00+00:00,day,209,208,209,0 days 11:04:35,0 days 11:00:35,0 days 10:54:00,0 days 11:04:35,0 days 10:54:00,0 days 11:00:35,0 days 00:03:10.789474
